; Sample Rate 11025
; Channels 1
  0	0
  9.07029e-05	0
  0.000181406	0
  0.000272109	0
  0.000362812	-0.0078125
  0.000453515	-0.0078125
  0.000544218	0
  0.000634921	0
  0.000725624	0
  0.000816327	0
  0.000907029	0
  0.000997732	0
  0.00108844	0
  0.00117914	0
  0.00126984	0
  0.00136054	0
  0.00145125	0
  0.00154195	0
  0.00163265	0
  0.00172336	0
  0.00181406	0
  0.00190476	0
  0.00199546	0
  0.00208617	0
  0.00217687	0
  0.00226757	0
  0.00235828	0
  0.00244898	-0.0078125
  0.00253968	-0.0078125
  0.00263039	-0.0078125
  0.00272109	-0.0078125
  0.00281179	-0.0078125
  0.00290249	-0.0078125
  0.0029932	-0.0078125
  0.0030839	-0.0078125
  0.0031746	-0.0078125
  0.00326531	-0.0078125
  0.00335601	-0.0078125
  0.00344671	-0.0078125
  0.00353741	-0.0078125
  0.00362812	-0.0078125
  0.00371882	-0.0078125
  0.00380952	-0.0078125
  0.00390023	-0.0078125
  0.00399093	-0.0078125
  0.00408163	-0.0078125
  0.00417234	-0.0078125
  0.00426304	-0.0078125
  0.00435374	0
  0.00444444	0
  0.00453515	0
  0.00462585	0
  0.00471655	0
  0.00480726	0
  0.00489796	-0.0078125
  0.00498866	-0.0078125
  0.00507937	-0.0078125
  0.00517007	-0.0078125
  0.00526077	-0.0078125
  0.00535147	-0.0078125
  0.00544218	-0.0078125
  0.00553288	-0.0078125
  0.00562358	0
  0.00571429	0
  0.00580499	0
  0.00589569	0
  0.00598639	0
  0.0060771	0
  0.0061678	0
  0.0062585	0
  0.00634921	0
  0.00643991	0
  0.00653061	0
  0.00662132	0
  0.00671202	0
  0.00680272	0
  0.00689342	0
  0.00698413	0
  0.00707483	0
  0.00716553	0
  0.00725624	0
  0.00734694	0
  0.00743764	0
  0.00752834	0
  0.00761905	0
  0.00770975	0
  0.00780045	0
  0.00789116	0
  0.00798186	0
  0.00807256	0
  0.00816327	0
  0.00825397	0
  0.00834467	0
  0.00843537	0
  0.00852608	0
  0.00861678	0
  0.00870748	0
  0.00879819	0
  0.00888889	0
  0.00897959	0
  0.00907029	0
  0.009161	0
  0.0092517	0
  0.0093424	0
  0.00943311	0
  0.00952381	0
  0.00961451	0
  0.00970522	0
  0.00979592	0
  0.00988662	0.0078125
  0.00997732	0.0078125
  0.010068	0.0078125
  0.0101587	0
  0.0102494	0
  0.0103401	0
  0.0104308	0
  0.0105215	0
  0.0106122	0
  0.0107029	0
  0.0107937	0
  0.0108844	0
  0.0109751	0
  0.0110658	0
  0.0111565	0
  0.0112472	0
  0.0113379	0
  0.0114286	0
  0.0115193	0
  0.01161	0
  0.0117007	0
  0.0117914	0
  0.0118821	0
  0.0119728	0
  0.0120635	-0.0078125
  0.0121542	-0.0078125
  0.0122449	0
  0.0123356	0
  0.0124263	0
  0.012517	0
  0.0126077	0
  0.0126984	0
  0.0127891	0
  0.0128798	-0.0078125
  0.0129705	0
  0.0130612	0
  0.0131519	0
  0.0132426	0
  0.0133333	0.0078125
  0.013424	0.0078125
  0.0135147	0
  0.0136054	0
  0.0136961	-0.0078125
  0.0137868	-0.0078125
  0.0138776	-0.0078125
  0.0139683	-0.0078125
  0.014059	-0.0078125
  0.0141497	-0.0078125
  0.0142404	-0.0078125
  0.0143311	-0.0078125
  0.0144218	-0.0078125
  0.0145125	-0.0078125
  0.0146032	-0.0078125
  0.0146939	-0.0078125
  0.0147846	-0.0078125
  0.0148753	-0.0078125
  0.014966	-0.015625
  0.0150567	-0.015625
  0.0151474	-0.015625
